"id","lat","lon","date","country","species","database","myID"
4837835314,-27.520168,-51.1208,"2023-05-21","Brazil","Amazona vinacea","Gbif",267
4843951028,-27.004435,-51.400833,"2023-05-24","Brazil","Amazona vinacea","Gbif",268
4743314293,-27.945337,-49.92603,"2023-05-24","Brazil","Amazona vinacea","Gbif",269
4677764900,-27.951292,-49.93415,"2023-05-24","Brazil","Amazona vinacea","Gbif",270
4747342427,-27.945486,-49.92607,"2023-05-25","Brazil","Amazona vinacea","Gbif",271
4647397998,-26.26182,-49.533432,"2023-05-26","Brazil","Amazona vinacea","Gbif",272
4805839850,-24.949799,-47.97888,"2023-05-26","Brazil","Amazona vinacea","Gbif",273
4739352608,-22.721987,-45.62725,"2023-05-27","Brazil","Amazona vinacea","Gbif",274
4648056882,-29.173143,-49.96721,"2023-05-28","Brazil","Amazona vinacea","Gbif",275
4713097222,-26.127153,-51.652622,"2023-05-30","Brazil","Amazona vinacea","Gbif",276
4681019701,-26.536896,-51.606956,"2023-05-30","Brazil","Amazona vinacea","Gbif",277
4673741914,-27.980448,-49.855312,"2023-05-31","Brazil","Amazona vinacea","Gbif",278
4633584867,-27.671589,-49.05885,"2023-05-27","Brazil","Amazona vinacea","Gbif",279
4829764060,-26.513437,-51.77953,"2023-05-31","Brazil","Amazona vinacea","Gbif",280
4661642840,-27.529762,-51.10079,"2023-05-17","Brazil","Amazona vinacea","Gbif",281
4838958920,-17.529064,-40.572052,"2023-05-31","Brazil","Amazona vinacea","Gbif",282
4841353722,-28.306835,-50.645977,"2023-05-29","Brazil","Amazona vinacea","Gbif",283
4686739032,-27.928144,-49.85533,"2023-05-03","Brazil","Amazona vinacea","Gbif",284
4138637847,-22.841213,-46.198876,"2023-06-19","Brazil","Amazona vinacea","Gbif",285
4153781132,-25.800289,-52.197394,"2023-06-02","Brazil","Amazona vinacea","Gbif",286
4162181987,-26.229774,-49.852981,"2023-06-29","Brazil","Amazona vinacea","Gbif",287
4416930255,-16.394845,-40.957292,"2023-06-10","Brazil","Amazona vinacea","Gbif",288
4654481640,-25.707628,-53.060043,"2023-06-01","Brazil","Amazona vinacea","Gbif",289
4762670614,-27.488422,-50.818108,"2023-06-06","Brazil","Amazona vinacea","Gbif",290
